Gene symbol	Astrocyte	Endothelial	Microglia	Excitatory	Inhibitory	Oligo
SLC17A7	0.040390561403509	0.966799	0	398.526867521739	1.6422688	1.1941426
CHN1	322.613895736842	34.3061067	0	2691.37087773913	243.566108790476	28.2254722857143
NPTX1	3.03031571929825	8.01200925	0	582.564967608696	11.1662876380952	0.163064742857143
RYR2	0.893341824561404	2.2544176	0	306.192192130435	70.5216398380952	7.17902948571429
MKL2	14.4323184912281	67.99955265	8.43341271428571	198.643341347826	18.7443859809524	0.999169228571429
ENC1	2.42182261403509	11.128192	65.2421421428571	784.807244956522	232.384410390476	2.66510871428571
SYN2	9.58130705263158	0.9442241	1.94420892857143	475.630076043478	114.184833390476	0.10492
SV2B	0.122877333333333	0.2881153	0	313.124571695652	9.74171408571429	2.1712272
NEUROD6	0.198033964912281	3.54639665	0	914.247211173913	0.909953057142857	0.296405314285714
GAP43	31.8214521754386	39.0183986	0.946621	1267.77647026087	342.804418019048	42.7767687714286
PRKCB	1.50998426315789	45.4853542	80.7381667857143	337.937748173913	108.321930009524	18.0656699428571
HTR2A	0.350995614035088	12.11373645	0	389.068070869565	22.808781447619	1.39897005714286
SH3GL2	20.3004428421053	1.2363922	0.431229142857143	433.49466226087	80.8142619047619	0
RALYL	20.8097660526316	0	0	629.800918217391	81.0093979428571	5.32127708571429
OLFM1	105.759631070175	25.01514035	1.12989457142857	880.72166773913	300.332338514286	19.4769451714286
STMN1	142.508402859649	558.5739116	64.8273968571429	3705.90630647826	1589.29989986667	2143.45621205714
UCHL1	72.1182904035088	76.9727501	1.98139521428571	2866.95932930435	1422.23175686667	134.652674142857
PCLO	8.20761784210526	11.1779662	0.176332214285714	381.132332434783	158.0120016	20.1951744857143
NELL2	0.96660050877193	0.2714833	0	400.431974130435	181.780952504762	30.3890579142857
PHYHIP	0.295057350877193	0	0	227.858950173913	48.5209102571429	0
LDB2	6.35697698245614	6.38131515	0	296.727368652174	55.7999519333333	21.4628616571429
SCN3B	5.56917392982456	8.398147	0	340.020473826087	111.853447609524	5.11707677142857
ARPP21	11.8146659824561	9.91422325	0	279.467335434783	70.4511835333333	14.2725526571429
PDE1A	0.202338192982456	53.7224701	0	201.359427434783	19.4909536952381	144.7826874
PPP2R2C	32.7875372105263	1.25735905	0	60.3505375217391	20.7420059428571	1.64664897142857
LMO4	28.843397	24.95209485	2.55078514285714	209.829395391304	29.3269641619048	19.8510628
CNKSR2	56.5147401929825	3.3611167	0	292.41931973913	137.009237609524	4.5728482
KHDRBS3	3.79751589473684	79.35018675	40.6752030714286	351.629786521739	55.7500810952381	19.5135406285714
CACNA2D1	4.41406429824561	0.1275147	0	134.793407043478	17.3851353428571	10.0352981142857
SLIT1	12.2260444912281	0.20430505	0	124.563074608696	54.8473315904762	1.22122448571429
MICAL2	0.187101105263158	0.600879	0	107.394636043478	20.9812106380952	0.928244171428571
CELF2	184.111352491228	51.9840336	280.682096857143	448.660171217391	190.276193504762	5.70877251428571
SATB2	12.1936853508772	13.1955826	0	101.968238913043	0.618653895238095	47.9324933142857
TSHZ2	0.125690122807018	0.3109428	0	114.274116695652	6.32268815238095	0.378591085714286
ANO3	0.053890157894737	28.6209907	0.159658857142857	276.107796826087	0.857780876190476	0.908685142857143
LRMP	0.38175901754386	0.46046285	603.827861428571	422.094953695652	2.11544692380952	0.284366971428571
OLFM3	2.08373122807018	0	1.01223728571429	596.194191478261	246.309346057143	10.3238369714286
R3HDM1	35.2569093333333	22.6774675	65.8234474285714	676.983928608696	206.237773733333	27.9373249714286
SYT7	0.05013250877193	0	0	57.9971893043478	13.1842888666667	0.276964228571429
GABRA5	0.154628052631579	0.25205685	0	297.158662	33.4603380666667	0.998723485714286
PPP3CA	372.786240578947	174.8464953	411.4653535	1842.46937686957	662.562502847619	554.5724722
PAK1	6.24277533333333	71.0054402	78.1467257857143	312.250471347826	144.213428495238	26.7130460285714
CREG2	1.25605878947368	1.3970507	0	233.761822173913	71.1424895238095	56.0769182571429
VSNL1	51.7477423859649	36.66152365	0.859030357142857	2549.07726408696	1453.29776339048	111.194221085714
RGS4	1.44597296491228	208.1302301	0.167705	935.174358086957	236.162300752381	6.86805757142857
SYN1	8.33968461403509	6.0132605	13.1583171428571	227.974752956522	91.1705648190476	12.7323163428571
CAMK2A	6.79550756140351	3.51758735	0.205022142857143	319.689360130435	139.425199819048	2.82565945714286
CELF5	1.10742729824561	0.3760184	0	61.117056	22.6107463238095	7.34545668571429
BSN	1.77870710526316	2.08192495	0.0405875	73.1880533478261	35.7585174380952	1.96447491428571
SYT4	16.4164245614035	16.3363337	0	615.635987652174	332.620761380952	15.0021305428571
GAD1	24.9763927017544	12.59412525	0	74.1006975217391	1047.46143052381	61.1029845142857
ARL4C	48.631101122807	21.9723515	12.5241302142857	181.200616695652	589.998029638095	41.7522005142857
MEG3	26.3627845263158	36.8503693	0.041761214285714	717.210565565217	1019.42207722857	65.8412563142857
NRIP3	2.7336659122807	181.5390605	149.335014785714	97.2007890434783	877.576235895238	14.8433919714286
SCG2	160.753176666667	110.3544131	0	1157.93435221739	3267.8930074	101.9984338
SYNPR	27.7526352105263	53.6881287	0	704.92000273913	1623.52393733333	30.4375072857143
GABRB2	16.2129278070175	17.6050468	0.236545285714286	371.937483434783	527.136047190476	7.91664814285714
MYT1L	7.31180140350877	12.7839281	0	347.132288608696	359.511928790476	16.0911454571429
ATP1B1	110.049813	470.2192409	384.216816714286	1484.58178465217	3005.39603469524	1345.34842385714
ROBO2	3.602038	5.7838592	0.113907857142857	31.2288596956522	119.506159066667	0.627769857142857
FXYD6	22.3047252105263	123.54365565	0	717.373902391304	923.510600438095	105.022145285714
DLX6-AS1	0.115031543859649	2.45449875	0	0.847438043478261	107.499761895238	0.242410914285714
NRXN3	5.37724701754386	7.2812929	0	123.761490173913	249.732002514286	56.2878860285714
GAD2	5.54326726315789	15.13373825	0	10.8908716086957	157.385449314286	1.79768717142857
IGF1	3.49633461403509	11.1917299	20.8713997857143	8.28692986956522	237.762012114286	82.6126525428571
GRIK2	29.6842183859649	18.4332254	0	223.698346565217	550.93493887619	13.0371238571429
AP1S2	50.0130339824561	53.89282585	42.9736282142857	70.6228402608696	672.068056485714	35.4577198857143
FGF12	4.18376064912281	130.5982405	0.134258428571429	867.913101	1602.57721628571	58.9929506857143
GABRA1	16.881037877193	59.9476815	0.239727928571429	879.861625782609	1212.50292070476	51.1603108285714
CNTNAP2	9.13991587719298	54.2787523	0	184.261714304348	582.618460847619	102.016032685714
SCG5	33.4013148070175	51.40723445	29.6184177142857	1619.65178426087	2053.8580302	633.3725038
SRRM4	5.41068535087719	1.83502715	0	92.8613565652174	122.001947990476	3.66108897142857
PNMA2	78.32458	76.75838145	0	790.932879565217	798.460178542857	33.1617622
NAP1L3	102.183130035088	33.1478252	0	997.205405217391	1788.34319269524	299.702409514286
ERBB4	185.136136070175	9.0028642	0.354812642857143	42.6352313043478	604.898458095238	90.2010026285714
ZNF385D	7.19803856140351	3.25818195	0	8.9628807826087	133.568603419048	1.92994822857143
CALB2	16.7805183508772	101.1917867	1.546759	21.822066	1081.70566612381	30.6739557428571
RBFOX2	72.7709060701754	64.1853354	0.148377785714286	321.159454043478	347.62705527619	18.0965551714286
DCX	0.775276789473684	2.86835185	0.364541285714286	40.2781126086957	158.663541447619	4.87828957142857
SLC22A17	50.5484018947368	9.86408775	0.7696735	244.719414217391	266.720774171429	59.5861369142857
RGS12	9.81092910526316	4.1318719	69.9744101428571	11.02113	111.396650066667	0.3973908
ATP1A3	0.643406315789474	5.18506145	0	23.4619605652174	35.1665410190476	0.918940628571429
